"Freq [MHz]","RadiationEfficiency [] - ferrite_pos_z='0mm' Phi='0deg' Theta='0deg' Wb='400mm'","RadiationEfficiency [] - ferrite_pos_z='0mm' Phi='0deg' Theta='0deg' Wb='1000mm'","RadiationEfficiency [] - ferrite_pos_z='1mm' Phi='0deg' Theta='0deg' Wb='400mm'","RadiationEfficiency [] - ferrite_pos_z='1mm' Phi='0deg' Theta='0deg' Wb='1000mm'"
30,0.00412273899337106,0.322993652955363,0.00196342996140482,0.122240530534797
37.767762353825,0.00892129548474089,0.54153449519821,0.00519972690596606,0.139826125808982
47.5467957738334,0.0238546485683711,0.707459599895843,0.015237299285203,0.203309703814905
59.8578694490664,0.084204277878441,0.832046366878043,0.038312344179698,0.43571045824909
75.3565929452874,0.233659089014888,0.915262591631594,0.0553232220376073,0.761518886767568
94.8683298050514,0.434443403273172,0.975909124484324,0.0748492360869399,0.848775326967158
119.432151166049,0.594154625933376,0.988178272969925,0.146774909711087,0.896824575365143
150.356170088182,0.733767209881568,0.988807233740622,0.384720519517692,0.854492305363232
189.287203344058,0.873736241871259,0.973848900056422,0.513009301408273,0.756039590538886
238.298470417284,0.981062422949477,0.958352591457941,0.740983699936567,0.607348994134481
300,0.996324206857748,0.922720396455361,0.67866208748532,0.422027644429689
